01001885 01001098
01000917 01000B16
010045B3 0100406E
010045B4 0100406B
010020A3 010020A9
01004448 01004452
01004449 0100444D
01003A35 01003A22
000453EB 00033CB1
0004566A 0003E648
000506E1 000446E7
0005A862 0002F3F0
0100733F 0100734E
01007340 0100734D
0007201E 00072020
000A0D80 0005634C
000A2432 000A2433
0006BAAC 0006BA8E
0005634C 000A0D80
00062E9B 00035B80
0004E019 0005032A
00050395 0005036C
000503B7 000503A9
0004CAA8 00050C54
0004CAA9 00050C53
0004E01A 00050299
00050D36 00050D35
0002F526 0002F425
0002F533 00024DD5
0002F534 0002F429
0002F535 0002F41E
0002F53E 00024DF1
0002F53F 0006A820
00038B3D 00038B3F
000695E2 00069646
0006EC68 0006ECA3
0002A328 000181F3
0002A088 000181D4
00024BE9 00024C65
00024BF7 00024CB4
00024C0A 00024C6A
00024C1D 00024CD9
00024C40 00024CAF
000252D8 000252D9
0002B536 0002B558
0001B89C 0002625A
0001B89E 0001B8B8
0001B89D 0001B8ED
0003E648 0004566A
00033CB1 000453EB
000B5EB5 0006FE31
0001B6F0 000BBB6B
0001B764 0001B738
000C8129 000C819F
0006A9D3 0006B0A8
0001BCD4 0001B8FC
0004DD32 0004DDC2
0004DD33 0004DDC1
0004DB47 0004E7E8
0004DB4A 0004E7E7
0004DB49 0006DBAB
0004DB4B 0006DB38
0006D994 0006DB9A
0007C608 0007C54F
000959B9 00095A1C
0002A129 0002BCAD
0002A144 000181E6
0002A14E 0002BCAE
0001B8AD 0001837D
0001B8AF 0001827B
0002B5D4 000181D8
00032EC1 00061566
0001B5EF 000BBB5F
0001B5F1 0001B901
0001B60D 00014FDC
0001B615 0001B64E
000BB1E0 000BB1DF
0001B8CD 0001B8CC
0001B8CE 00045AC4
00076E3E 00076E5A
00076E72 00076E68
0001B5BA 0001B834
000BB0C3 000BC4D1
000BB0B7 0001ED98
000BB0B4 000036C6
0001BD32 00018626
00022F26 0002324B
0002325B 0007D75F
00023260 0002325F
00022F16 0004B3FA
00027DD3 00027E32
00027DE6 00027DEE
000401D3 00019CD8
0004BC2F 00059C3F
0004BC30 00059BEF
0004BC40 00059C04
000606B7 0001F1FA
0006937A 0006C03E
00041562 0001D877
000A4B13 00018634
000AE889 000AE886
0001B5B5 0000374E
0001B5B6 0001B833
000AE871 0001B9D7
0004F2AE 0004F2C8
00054A3A 0005497C
0002F3F0 0005A862
000C0A69 0003A245
000C0A67 00039E44
0001BD17 00045A1B
0001C85B 00034FB1
000314CA 000314CF
0001B5EE 000BC527
000B16AD 0002A273
0001BD18 0001B90F
0001BD23 0000374D
0003354A 0003354B
00033EE5 00033EE6
0001B766 000036C7
00049FDE 0003EE77
0004F2AF 0004F263
00061F92 00062678
000658C8 0006536A
00038D5C 0005B3B3
0001B7D0 00017ECB
00003417 0001B9CC
0001BA98 0001FA36
0001B816 0007DD37
00022BBC 00022B28
00022D93 00022DB8
00022D94 00022DB9
000BC433 000B5158
0001B7D4 000BC6D1
0001BD50 0001B9E4
0001B79A 000038B9
0001B7ED 000BC6D0
0003EEA5 0001B929
00061F70 0001B9BE
000CC22A 000CC21A
0001B9FB 0002622E
0001B9FC 0001B8E8
00021E98 00026231
00021E99 00026F82
000BB74C 00014FDD
0001560D 000155F5
00015622 00020A6C
00020AE1 00020A5E
0002377D 00020A5C
00003A12 00003A53
00003A14 00003A37
00003A15 00003A5B
00003A16 00003A3F
00003A19 00003A63
00003A1C 00003A73
00003A1D 00003A43
00003A1F 00003A6F
00003A23 00003A5F
00003A24 00003A6B
00003A25 00003A4F
00003A26 00003A57
00003A81 00003A67
00003B2C 00003B24
00003B39 00003F8E
00003F7D 00003F7E
0000435C 000043AD
00002DFF 00003A4B
00014E1A 00003A47
000039B7 00015203
000790FB 000790FA
00026D27 00043D5F
0001C27A 0001D3CE
000C3EA5 00051E93
000C3EA4 000C5785
000C3EA3 00051E94
000C3D34 00051EB6
000C3D33 00085878
000C3CF2 00051EB7
000C3CF6 00085877
000A2433 000A2432
0007E093 000534B3
0007D404 0007D406
0006A820 0002F53F
00059503 00029080
000594C2 000594C1
0003DA4F 00093FC2
0002EE95 0002EEB8
0002EED6 0002EED4
0002EED7 0002EECA
0002EE93 0002EEBF
000184F7 000184D6
000184F5 000A5E2D
000183DB 0003D22A
000183D8 0002CAFB
000183D5 00018080
000183D2 000414F6
000183CF 000182FC
000183C9 000182A6
000183B1 00018179
000183AE 0003C67E
00017473 000173EF
0001707F 0001B5C6
00017083 000B01A3
00017084 0001727C
00003B24 00003B2C
00018612 00024720
00018613 00061AB3
00018616 00018608
0001BCD3 0004F23C
0001BD36 00030B00
0001BD41 0002F899
000155F5 0001560D
0001D5FC 0001D622
0001D5FD 0001D695
0001D5FE 0001D62B
0001D5FF 0001D66F
00017411 0001741A
000179CE 0001798C
000179D3 000179D1
00017A17 000170FD
00019409 0001940B
00019B4E 000B5CE6
0001DA15 0001DA41
0001DA16 0001DA74
0001DFEA 0001BD73
0001DFF1 0001DEC1
0001DFF7 0001DEDA
0001E352 0001E351
0001E984 0001DA1E
0001E987 0001E986
0002281A 00021FC1
0002281B 0002270D
00023609 0002366C
0002363E 000236AD
0002360A 000253FD
0002541E 0002541D
0002541F 0002544A
00025420 0001C1B7
0002ABBA 00028001
0002ABB9 0002796D
0002ABB8 00048380
0002ABBB 0002ABB2
00028528 00029930
00028529 00029932
0002B0F8 0002B10C
0002B0FC 0002B10E
0002B0FD 0002B127
0002B0FE 0002B125
0002B8D1 0001BCD1
0002DCD9 0002DC38
0002DB45 0002DC39
0002DCDD 0002DC9F
0002DCDE 0002DC72
0002DCE0 0002DCCF
0002DED7 0002DF0C
0002DED8 0002DF0E
0002E03C 0004EF36
0002E0E4 0002E0EA
0002E5E4 0002E5FD
0002FCC7 0002FD33
00030602 0002A019
00034A35 00069647
0003C840 0003B371
0003C841 0003BCE7
0003C847 0003B1D2
0003C947 0003C96F
0003C948 0003C99C
0003C949 0003C99E
0003BD8C 0003D616
0003C2FA 0003D68F
0003D447 0003D44A
0002F876 0001B625
000433AC 000414F7
00043B8A 00043DD5
00043B8B 00043CC2
00044B12 00044B11
00044B14 00044B13
00044D09 00044DA7
00048190 000482CE
00048191 000482CF
00048192 000482CD
00048306 0002D15E
0004B9DD 00018350
0004BC64 0004EF67
0004BC65 0004EF5D
0004CCE9 0004CFA3
0004CCEA 0004CD80
0004CEF7 0004CDAA
0004CEF8 0004CD24
0004D030 0002E07D
0004D031 0002E079
0004E73A 000509DF
0004EF46 0004EF4D
0004EF73 0004EF72
0004F135 00050090
0004F656 0004F757
0004F657 0004F756
00050F55 00050F54
00051466 00051465
00051467 00050B84
0005364D 00053671
000560EC 0001B9D4
000560F4 0001B9D5
0004021A 0004022D
00042F27 00042F40
0004E1C4 0004E1A6
00057E2A 00057E00
00058BFB 000AB578
0003F535 00059A0B
0003F538 00018308
0005AAB5 0005AB2E
0005AB78 0005AB30
0005D863 000689C3
00060176 000600E2
00063B37 00063B2B
00063B72 00063B71
000687CD 0002D775
00068C88 00068C84
0006A17B 00045268
0006C247 0006C246
0004623F 0006F1ED
0006F20C 0006F20F
0007012B 0004203C
000752C9 000752D8
000752CA 000752D9
00079F14 000184E2
00089C77 000184CA
0006F6A6 0006F6B1
00093706 00093665
00098743 00098737
00098744 00098738
0009B5A0 00099F16
0003DFC6 0003DFC2
0009C4CB 000184E8
0009DF52 0009DF51
0009DF53 0009DF50
000A5E88 000A5E83
000A6F41 000513CF
0005DD39 000AB579
000B36E4 000181A3
000B5F0B 000B5F6E
000B754F 000B7A49
000B7550 000B8B5B
000B754E 000B9D13
00018E56 00036F6A
000190F2 000190FC
000B548B 0004E6D1
0001FC8F 0001FD11
00023603 0002362F
000B9E64 000038B8
00024ECA 00017ECA
0002A344 0002A350
00017281 0002DBD8
0002DBE5 0002DBE1
0002DF06 0002DF0D
00039272 00039225
00039391 00039393
000392A7 000392C5
0003E897 0003E91E
0003EE0D 0003EE16
00061520 0006151A
00061BB7 000615C8
00064BFD 00064C5C
00064BFF 00064D20
00064C00 00064CBC
00064D38 00064D27
00070C6C 0004423F
00076E41 0007684B
00076E42 000C578E
00076E43 000C578D
00076E44 00051E81
00076E45 00051E82
00076E46 0007684D
00076E48 0007684E
00076E49 0007684C
000A3422 0004C333
000C25A7 000C26C3
000C25EA 000C25D7
000C2677 000C2606
000C2727 000C26C6
000C27B0 000C2FCC
000C27BB 000C2FCE
000C30AF 000C3042
000C3C1C 000C3C1D
000C84C5 000C84C6
0005608F 000C9201
000494D2 000C9A46
00049C94 000C99FD
000CA776 00043D04
000CA9F7 000CA9F0
0009CA2A 000CB0E0
0009DBB2 00020B99
000A4291 000349DE
00044C5E 0003CFC1
0004E6F3 0004E8E6
0004E776 0004E89C
0005281B 00052811
00049135 00052ADB
00054CDD 00056D22
00054DEF 00054DD5
00056ECC 00057116
000C991F 000574ED
0005C1E0 0005C1C2
00022F27 00064C70
0006744D 0003C57B
0006753C 00018250
0005C28B 00069FC3
000790FA 000790FB
0004C6CA 0004C6C8
0004960E 00056975
0006FE31 000B5EB5
000178C0 000172E7
0001835E 000173CB
0007DD37 0001B816
000310CC 000310F7
000173EF 00017473
00015203 000039B7
00003A3F 00003A16
000B8B5B 000B7550
00027DEE 00027DE6
00027E32 00027DD3
00003A4F 00003A25
00003F7E 00003F7D
000B5C33 000B5C3E
0005CF55 0001CC7D
0006B945 0003DC6F
000574ED 000C991F
0002DBD8 00017281
0002DBE1 0002DBE5
0006B0A8 0006A9D3
00014FDC 0001B60D
00014FDD 000BB74C
000BBB5F 0001B5EF
000BBB6B 0001B6F0
000C25D7 000C25EA
0006DBAB 0004DB49
0006DB9A 0006D994
0006DB38 0004DB4B
0004E7E7 0004DB4A
0004E7E8 0004DB47
00020A5F 00020A5D
00020A6C 00015622
0003D44A 0003D447
0003D51A 0003D583
0004CFA3 0004CCE9
0004CD80 0004CCEA
0004CDAA 0004CEF7
0004CD24 0004CEF8
0002D247 0002D205
00024CB4 00024BF7
0001B8B8 0001B89E
0001B8B9 0001B8B0
0005AB2E 0005AAB5
0003CFC1 00044C5E
0001B5C6 0001707F
00035EA3 0002324D
00034FB1 0001C85B
00021026 00020FD9
00021025 00045612
0002F4D4 0002F4CA
00018121 00018130
00018122 0001813C
00039393 00039391
00017191 00017972
000179D1 000179D3
000043AD 0000435C
000B5756 000BB795
000B5718 000B55BE
000B57FF 000B553E
000B5715 000B5A74
000B5742 000B5AA4
00043D04 000CA776
0002627D 00026F63
0002625A 0001B89C
000317B5 0003179F
00030B1E 000317B4
00030B00 0001BD36
000181B0 000181BD
000181B1 000181A2
00076E68 00076E72
00076E5A 00076E3E
00045612 00021025
0004561A 0004561C
0004561B 0004561F
00036F6A 00018E56
00026F82 00021E99
00026F63 0002627D
00026231 00021E98
0002622E 0001B9FB
000A53BD 000A257B
0001D877 00041562
00018634 000A4B13
0001863A 000ABD29
00018635 00003BB5
00050B84 00051467
00050BEA 000514D2
00050BEC 00050BEB
0007CEE4 0004B3F3
0004E1A6 0004E1C4
0002EEB8 0002EE95
0003B371 0003C840
0002A019 00030602
000182CF 000182DD
0007D75F 0002325B
00074EDE 0001865C
000B037B 00024E1B
00056D22 00054CDD
00056975 0004960E
0002F41E 0002F535
00003A63 00003A19
000C5863 000C585D
000C5785 000C3EA4
0002915D 0004AEA2
0001FD11 0001FC8F
0001D3CE 0001C27A
00003A67 00003A81
0006536A 000658C8
0003354B 0003354A
000C2606 000C2677
0002DF0D 0002DF06
000509E3 00050A18
000509E2 00050A17
000509DF 0004E73A
0004DDC1 0004DD33
0004DDC2 0004DD32
0002D96D 0002D96C
00068C84 00068C88
000689C3 0005D863
0003D68F 0003C2FA
0003D583 0003D51A
0002D204 0002D230
0002D205 0002D247
00095E8F 00095E91
00095E8E 00095E5A
00024CD9 00024C1D
0003ED59 0001B900
0001B8BE 00023240
0001B8C9 0001B8EC
0001B8CA 0001BD24
0001B8CC 0001B8CD
0002CAFB 000183D8
000180A3 000180B0
000B9D13 000B754E
00098737 00098743
00098738 00098744
0005AB30 0005AB78
00022DB8 00022D93
00022DB9 00022D94
000356CB 00035363
00018589 000185FA
00018130 00018121
00054830 000547B2
00043D5F 00026D27
0001F802 0005AE0C
000185E8 00018617
000252D9 000252D8
00044B13 00044B14
00044B11 00044B12
00044AA6 00044A10
000181BD 000181B0
000181BE 000181A4
000B7A49 000B754F
0004F23C 0001BCD3
0004F263 0004F2AF
00003BB5 00018635
00003BBA 00003C72
0001824E 0001825C
0001824F 0001826A
00018250 0006753C
000A257B 000A53BD
00003CEF 00003C51
00070B96 00024A08
00070C6A 00025CD0
0002EEBF 0002EE93
0001D622 0001D5FC
000182DD 000182CF
000182DE 000182EA
0003BCC5 0003BCF7
00052F32 00053C9B
00052F33 00053C9A
000170FD 00017A17
000C84C6 000C84C5
00024DF1 0002F53E
00038B3F 00038B3D
0002362F 00023603
0001837B 0001838A
0001837C 00018396
0001837D 0001B8AD
00003A53 00003A12
000CC21A 000CC22A
000C585D 000C5863
000C578E 00076E42
000C578D 00076E43
0002DF0C 0002DED7
000267B2 00025F72
00003A6B 00003A24
000BB1DF 000BB1E0
000C26C3 000C25A7
000BC527 0001B5EE
000BC4D1 000BB0C3
000534B3 0007E093
00064D20 00064BFF
00064D27 00064D38
000513D1 00051271
000513D0 00053E43
000513CF 000A6F41
000513B3 00053E3C
000513AC 00029043
0004561C 0004561A
0004561F 0004561B
00045268 0006A17B
00045267 00020FD8
0002D96C 0002D96D
0002FA9E 0002FA60
0002FB26 0002FB24
00020B99 0009DBB2
0003D616 0003BD8C
00095E93 00095E92
00095E94 00095E59
000180B0 000180A3
0005C1C2 0005C1E0
0001B928 0001BD22
0001B929 0003EEA5
0001813C 00018122
000547B2 00054830
000ABD29 0001863A
00003C51 00003CEF
00003C72 00003BBA
000BB795 000B5756
000B5A74 000B5715
000B5A7E 0009A6EF
000B5AA4 000B5742
00043DD5 00043B8A
00043DD6 00043CC3
00053EEE 00053E8E
00053E41 00053D2E
00053E3C 000513B3
00093FC2 0003DA4F
0003ACEF 0003AD3A
0003AD0E 0003ADA6
0003AD1C 0003ADF4
0003AE20 0003ADAF
0003AD1F 0003AE79
0003AD1D 0003AE6F
000A39A1 000A39A9
000184CA 00089C77
000181D4 0002A088
000181D8 0002B5D4
00022B28 00022BBC
0006C246 0006C247
0001BCD1 0002B8D1
0001DF0E 0001DF6C
0001E005 0001DED3
0001BD73 0001DFEA
0001CC21 0001C984
00018649 00018652
0001CC7D 0005CF55
0001825C 0001824E
0001825D 00018269
00035B81 00035B6E
00035B80 00062E9B
0007C54F 0007C608
0005497C 00054A3A
00052811 0005281B
000301E6 0002F14B
0002EECA 0002EED7
0002DCA0 0002DC5F
0002DC9F 0002DCDD
0001D62B 0001D5FE
0003EE77 00049FDE
0001BD21 0001B910
0001BD22 0001B928
0003B1D2 0003C847
000182EA 000182DE
00053C9A 00052F33
00053C9B 00052F32
0002DC39 0002DB45
0002DC38 0002DCD9
00018389 00018397
0001838A 0001837B
00003A5B 00003A15
0002DF0E 0002DED8
000C26C6 000C2727
000BC6D0 0001B7ED
000BC6D1 0001B7D4
000AB579 0005DD39
000AB578 00058BFB
00064CBC 00064C00
00064C5C 00064BFD
00021FC1 0002281A
00021FC4 00021FB6
00022646 0002270E
0006184C 0006184D
00020FD8 00045267
00020FD9 00021026
000482CF 00048191
000482CE 00048190
000482CD 00048192
00036C33 00036E9E
0001B834 0001B5BA
0001B833 0001B5B6
000AFDC1 0007F7E3
00018617 000185E8
00053671 0005364D
0009A6EF 000B5A7E
00020A5D 00020A5F
000209C5 00020A3D
000209C4 000209CA
00020A5E 00020AE1
00020A5C 0002377D
0002F14B 000301E6
0002F8A2 0002F898
0002F8A1 0002F897
0005B3B3 00038D5C
0002F4CD 0002F4DD
0002F4CA 0002F4D4
000181E6 0002A144
000181E7 000181F4
0002DD62 0002A93C
0001C984 0001CC21
00018652 00018649
00018269 0001825D
0001826A 0001824F
00035B6E 00035B81
00047E6F 00047E36
00057116 00056ECC
0002F897 0002F8A1
0002F899 0001BD41
0002F898 0002F8A2
0002EED4 0002EED6
0002DC72 0002DCDE
0001D66F 0001D5FF
000882F6 000882F5
00059A0B 0003F535
000182FA 00018309
000182FC 000183CF
0002DC5F 0002DCA0
00053D2E 00053E41
00053D1B 00053E1F
00029080 00059503
000594C1 000594C2
00018396 0001837C
00018397 00018389
00003A37 00003A14
0004EF36 0002E03C
00053E43 000513D0
0006F1ED 0004623F
000CB0E0 0009CA2A
0006F6B1 0006F6A6
000A5E83 000A5E88
00040710 000407D7
0002B558 0002B536
000253FD 0002360A
0002541D 0002541E
0002FA60 0002FA9E
0001FA1D 0001FA59
0001FA36 0001BA98
0001F6BD 0001FA3A
0005AE0C 0001F802
000CA9F0 000CA9F7
00085878 000C3D33
00085877 000C3CF6
0001DEDA 0001DFF7
0001DEDB 0001DFE2
000A5401 0003D824
0003D3DF 0003D811
0003D22A 000183DB
0006ECA3 0006EC68
00052ADB 00049135
00036E9E 00036C33
0003179F 000317B5
0003179C 000317A4
00024A08 00070B96
00043F60 00044248
000209CA 000209C4
00020A3D 000209C5
00035363 000356CB
000185FA 00018589
000185FB 00018609
00074F5A 000B5CFB
0001741A 00017411
00004440 00014A88
000184D6 000184F7
0002A93C 0002DD62
000181F3 0002A328
000181F4 000181E7
00044A10 00044AA6
00048380 0002ABB8
0003A572 000468E6
0001F1FA 000606B7
0003AF6D 0003E8F8
00096177 00095F5B
0001865B 00018674
0001865C 00074EDE
0002BCA0 0002BD2B
0002BCAD 0002A129
0001827B 0001B8AF
0001B8B0 0001B8B9
00017ECB 0001B7D0
00017ECA 00024ECA
00063B2B 00063B37
00028001 0002ABBA
0001D695 0001D5FD
0006151A 00061520
000603F3 000752D7
000882F5 000882F6
00018308 0003F538
00018309 000182FA
00033EE6 00033EE5
0002DCCF 0002DCE0
0004AEA2 0002915D
0002D775 000687CD
00003A57 00003A26
0002E079 0004D031
00050F54 00050F55
000C3C1D 000C3C1C
000A5E2D 000184F5
000407D7 00040710
0002FD33 0002FCC7
00052197 00052196
00028579 0005398D
00024720 00018612
0001DF6C 0001DF0E
0001DFE2 0001DEDB
00061AB3 00018613
0001B8E8 0001B9FC
000603FE 0004EDAB
0003AD3A 0003ACEF
0003ADA6 0003AD0E
000C9201 0005608F
000B5F6E 000B5F0B
0002F425 0002F526
0002E0EA 0002E0E4
00050D35 00050D36
00050D6A 0005043B
00050C53 0004CAA9
00050C54 0004CAA8
0001B9E4 0001BD50
00050299 0004E01A
00018608 00018616
00018609 000185FB
000181F9 00018206
000181FA 00018214
00029932 00028529
00042F40 00042F27
0002BD2B 0002BCA0
0002BCAE 0002A14E
0002ABB2 0002ABBB
0003E8F8 0003AF6D
0004665B 000467BE
000752D9 000752CA
000752D8 000752C9
000752D7 000603F3
00063B71 00063B72
00063B70 00063B98
0002796D 0002ABB9
0006C03E 0006937A
00062678 00061F92
00003A47 00014E1A
00051E81 00076E44
00051E82 00076E45
0004B3F3 0007CEE4
0004B3FA 00022F16
0002E07D 0004D030
00029043 000513AC
0004EF72 0004EF73
0004EF67 0004BC64
0004EF5D 0004BC65
0004EF4D 0004EF46
0001E986 0001E987
0001DA1E 0001E984
0001DA41 0001DA15
0001DA74 0001DA16
0001FA59 0001FA1D
0001FA3A 0001F6BD
000C2FCC 000C27B0
0003EE16 0003EE0D
0003BCF7 0003BCC5
0003BCE7 0003C841
00059BEF 0004BC30
00095A1C 000959B9
0002B10C 0002B0F8
0005398D 00028579
0005398B 00054285
00052196 00052197
0006F20F 0006F20C
0001B8EC 0001B8C9
0001B8ED 0001B89D
000446E7 000506E1
000AEC1B 000AEB62
0001E351 0001E352
0003D824 000A5401
0003D811 0003D3DF
0004F756 0004F657
0004F757 0004F656
00045AC4 0001B8CE
00045A1B 0001BD17
00018177 00018186
00018178 00018192
00018179 000183B1
00057E00 00057E2A
0004EDAB 000603FE
0004E6D1 000B548B
0002F429 0002F534
0002E5FD 0002E5E4
0007D406 0007D404
000B5158 000BC433
0007F7E3 000AFDC1
0001B9CC 00003417
0002F4DD 0002F4CD
000184E2 00079F14
00018206 000181F9
000468E6 0003A572
000467BE 0004665B
00018674 0001865B
00014A88 00004440
000414F6 000183D2
000414F7 000433AC
00095EB4 00095E58
00095EB5 00095E57
00003A4B 00002DFF
00069646 000695E2
00069647 00034A35
00051E94 000C3EA3
00051E93 000C3EA5
00061566 00032EC1
0002544A 0002541F
0001C1B7 00025420
000036C6 000BB0B4
000036C7 0001B766
000C2FCE 000C27BB
000190FC 000190F2
000B01A3 00017083
00059C04 0004BC40
0004022D 0004021A
0002A350 0002A344
0004C333 000A3422
00022650 0002270A
000C9A46 000494D2
000C99FD 00049C94
00054DD5 00054DEF
0002B10E 0002B0FC
00054285 0005398B
000290D8 0009DB79
0009DB79 000290D8
00024C65 00024BE9
0002FB24 0002FB26
0002A273 000B16AD
00095F5B 00096177
0001DED3 0001E005
0001DEC1 0001DFF1
0001B64E 0001B615
0001B8FC 0001BCD4
0001E33A 0001E33B
0001E338 0001E339
0001E337 0001E336
0003C57B 0006744D
00063B98 00063B70
0003C96F 0003C947
0003C99C 0003C948
0003C99E 0003C949
0003AE6F 0003AD1D
0003AE79 0003AD1F
000317A4 0003179C
000317B4 00030B1E
00018185 00018193
00018186 00018177
0003DFC2 0003DFC6
000349DE 000A4291
0001B9D4 000560EC
0001B9D5 000560F4
000184E8 0009C4CB
00018214 000181FA
00029930 00028528
00039E44 000C0A67
0003A245 000C0A69
000182A4 000182BF
000182A6 000183C9
0004F2C8 0004F2AE
00044DA7 00044D09
000B5CE6 00019B4E
000B5CFB 00074F5A
000314CF 000314CA
0001727D 000172F6
0001727C 00017084
000C819F 000C8129
000615C8 00061BB7
00095E92 00095E93
00095E91 00095E8F
00095E57 00095EB5
00095E58 00095EB4
00095E59 00095E94
00095E5A 00095E8E
00024E1B 000B037B
00053E8E 00053EEE
00053E9B 00053E71
00053E8F 00053E20
00003A6F 00003A1F
00051EB6 000C3D34
00051EB7 000C3CF2
0002366C 00023609
000236AD 0002363E
00019CD8 000401D3
0000374D 0001BD23
0000374E 0001B5B5
000C3042 000C30AF
000A3A87 000A5F56
000A39A9 000A39A1
000310F7 000310CC
00059C3F 0004BC2F
000453EB 00033CB1
0004566A 0003E648
000506E1 000446E7
0002268C 0002270C
0002268B 0002270B
0005A862 0002F3F0
0002B125 0002B0FE
00024C6A 00024C0A
00039B70 00039B6F
00018080 000183D5
000600E2 00060176
0001ED98 000BB0B7
0001B900 0003ED59
0001B901 0001B5F1
0001E33B 0001E33A
0001E339 0001E338
0003C67E 000183AE
00018192 00018178
00018193 00018185
00093665 00093706
0003E91E 0003E897
0001E336 0001E337
000AEB62 000AEC1B
000AE886 000AE889
0001B9D7 000AE871
00018626 0001BD32
00072020 0007201E
00042039 000420E8
0004202D 000420EA
0004203C 0007012B
0005092E 000509FC
00051465 00051466
0004E89C 0004E776
0004E8E6 0004E6F3
00025CD0 00070C6A
00025F72 000267B2
0004423F 00070C6C
00044248 00043F60
000420E8 00042039
000420EA 0004202D
00039225 00039272
00024DD5 0002F533
0006184D 0006184C
000172F6 0001727D
0001940B 00019409
00003F8E 00003B39
00003A5F 00003A23
000298D2 000298D1
00051271 000513D1
00053E1F 00053D1B
00053E20 00053E8F
00053E71 00053E9B
00003A43 00003A1D
00064C70 00022F27
000B5C3E 000B5C33
0003DC6F 0006B945
0001B625 0002F876
000038B9 0001B79A
000038B8 000B9E64
00096D8B 0003C8B0
0003C8B0 00096D8B
0002270E 00022646
0002270D 0002281B
0002270C 0002268C
0002270B 0002268B
0002270A 00022650
0004C6C8 0004C6CA
0007684E 00076E48
0007684D 00076E46
0007684C 00076E49
0007684B 00076E41
0002D15E 00048306
0002D230 0002D204
00069FC3 0005C28B
0002B127 0002B0FD
0006BA8E 0006BAAC
00047E36 00047E6F
00024CAF 00024C40
000298D1 000298D2
00039B6F 00039B70
0001B738 0001B764
0001B90F 0001BD18
0001B910 0001BD21
0001BD24 0001B8CA
000A5F56 000A3A87
0003ADAF 0003AE20
0003ADF4 0003AD1C
000178BF 00018351
0001798C 000179CE
00017972 00017191
000B553E 000B57FF
000B55BE 000B5718
00099F16 0009B5A0
00043CC2 00043B8B
00043CC3 00043DD6
000181A2 000181B1
000181A3 000B36E4
000181A4 000181BE
0009DF50 0009DF53
0009DF51 0009DF52
0005043B 00050D6A
0001B9BE 00061F70
0005032A 0004E019
0005036C 00050395
000503A9 000503B7
000514D2 00050BEA
00050BEB 00050BEC
000509FC 0005092E
00050A17 000509E2
00050A18 000509E3
00050090 0004F135
00023240 0001B8BE
0002324D 00035EA3
0002324B 00022F26
0002325F 00023260
000182BF 000182A4
000392C5 000392A7
000172E7 000178C0
